"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes"
"idBank";"010767578";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"77.72";"A"
"2025-02";"79.1";"A"
"2025-01";"75.62";"A"
"2024-12";"81.04";"A"
"2024-11";"81.05";"A"
"2024-10";"82.49";"A"
"2024-09";"83.61";"A"
"2024-08";"82.34";"A"
"2024-07";"84.81";"A"
"2024-06";"86.19";"A"
"2024-05";"86.27";"A"
"2024-04";"85.63";"A"
"2024-03";"86.38";"A"
"2024-02";"85.68";"A"
"2024-01";"87.57";"A"
"2023-12";"89.11";"A"
"2023-11";"89.19";"A"
"2023-10";"89.06";"A"
"2023-09";"89.1";"A"
"2023-08";"91.97";"A"
"2023-07";"91.01";"A"
"2023-06";"90.48";"A"
"2023-05";"94.7";"A"
"2023-04";"90.96";"A"
"2023-03";"85.17";"A"
"2023-02";"89.9";"A"
"2023-01";"91.04";"A"
"2022-12";"88.89";"A"
"2022-11";"89.13";"A"
"2022-10";"86.73";"A"
"2022-09";"84.54";"A"
"2022-08";"82.65";"A"
"2022-07";"88.76";"A"
"2022-06";"96.13";"A"
"2022-05";"93.4";"A"
"2022-04";"95.63";"A"
"2022-03";"99.06";"A"
"2022-02";"97.34";"A"
"2022-01";"98.06";"A"
"2021-12";"98.69";"A"
"2021-11";"97.44";"A"
"2021-10";"78.87";"A"
"2021-09";"100.09";"A"
"2021-08";"100.72";"A"
"2021-07";"101.93";"A"
"2021-06";"103.6";"A"
"2021-05";"104.04";"A"
"2021-04";"103.43";"A"
"2021-03";"102.05";"A"
"2021-02";"103.56";"A"
"2021-01";"105.58";"A"
"2020-12";"103.97";"A"
"2020-11";"104.96";"A"
"2020-10";"106.93";"A"
"2020-09";"107.03";"A"
"2020-08";"106.57";"A"
"2020-07";"105.01";"A"
"2020-06";"97.62";"A"
"2020-05";"61.91";"A"
"2020-04";"72.41";"A"
"2020-03";"108.87";"A"
"2020-02";"112.97";"A"
"2020-01";"112.26";"A"
"2019-12";"113.01";"A"
"2019-11";"115.81";"A"
"2019-10";"118.59";"A"
"2019-09";"115.4";"A"
"2019-08";"113.2";"A"
"2019-07";"105.71";"A"
"2019-06";"97.17";"A"
"2019-05";"91.46";"A"
"2019-04";"115.07";"A"
"2019-03";"116.84";"A"
"2019-02";"119.56";"A"
"2019-01";"119.58";"A"
"2018-12";"117.94";"A"
"2018-11";"118.36";"A"
"2018-10";"119.74";"A"
"2018-09";"118.41";"A"
"2018-08";"119.24";"A"
"2018-07";"121.92";"A"
"2018-06";"121.66";"A"
"2018-05";"118.77";"A"
"2018-04";"121.43";"A"
"2018-03";"120.84";"A"
"2018-02";"116.31";"A"
"2018-01";"116.72";"A"
"2017-12";"118.5";"A"
"2017-11";"120.84";"A"
"2017-10";"116.57";"A"
"2017-09";"116.52";"A"
"2017-08";"114.67";"A"
"2017-07";"114.32";"A"
"2017-06";"117.4";"A"
"2017-05";"119.01";"A"
"2017-04";"118.89";"A"
"2017-03";"115.58";"A"
"2017-02";"112.82";"A"
"2017-01";"118.47";"A"
"2016-12";"119.88";"A"
"2016-11";"118.99";"A"
"2016-10";"121.04";"A"
"2016-09";"120.89";"A"
"2016-08";"124.63";"A"
"2016-07";"124.28";"A"
"2016-06";"124.34";"A"
"2016-05";"125.15";"A"
"2016-04";"128.18";"A"
"2016-03";"130.61";"A"
"2016-02";"132.59";"A"
"2016-01";"131.19";"A"
"2015-12";"132.31";"A"
"2015-11";"133.32";"A"
"2015-10";"128.29";"A"
"2015-09";"125.47";"A"
"2015-08";"128.19";"A"
"2015-07";"131.3";"A"
"2015-06";"132.72";"A"
"2015-05";"132.98";"A"
"2015-04";"127.86";"A"
"2015-03";"127.42";"A"
"2015-02";"124.77";"A"
"2015-01";"121.2";"A"
"2014-12";"118.71";"A"
"2014-11";"118.31";"A"
"2014-10";"121.09";"A"
"2014-09";"119.38";"A"
"2014-08";"117.54";"A"
"2014-07";"118.79";"A"
"2014-06";"116.52";"A"
"2014-05";"116.05";"A"
"2014-04";"117.04";"A"
"2014-03";"116.3";"A"
"2014-02";"117.29";"A"
"2014-01";"121.32";"A"
"2013-12";"122.31";"A"
"2013-11";"118.83";"A"
"2013-10";"120.67";"A"
"2013-09";"124.38";"A"
"2013-08";"131.68";"A"
"2013-07";"124.26";"A"
"2013-06";"120.58";"A"
"2013-05";"119.78";"A"
"2013-04";"118.09";"A"
"2013-03";"121.14";"A"
"2013-02";"124.15";"A"
"2013-01";"116.46";"A"
"2012-12";"120.89";"A"
"2012-11";"122.5";"A"
"2012-10";"121.39";"A"
"2012-09";"120.21";"A"
"2012-08";"123.98";"A"
"2012-07";"122.47";"A"
"2012-06";"122.87";"A"
"2012-05";"127.43";"A"
"2012-04";"130.21";"A"
"2012-03";"128.51";"A"
"2012-02";"127.04";"A"
"2012-01";"124.31";"A"
"2011-12";"130.0";"A"
"2011-11";"133.18";"A"
"2011-10";"133.44";"A"
"2011-09";"137.99";"A"
"2011-08";"137.62";"A"
"2011-07";"135.92";"A"
"2011-06";"139.02";"A"
"2011-05";"141.58";"A"
"2011-04";"141.97";"A"
"2011-03";"141.34";"A"
"2011-02";"143.79";"A"
"2011-01";"144.64";"A"
"2010-12";"142.74";"A"
"2010-11";"143.19";"A"
"2010-10";"143.46";"A"
"2010-09";"142.85";"A"
"2010-08";"140.18";"A"
"2010-07";"143.94";"A"
"2010-06";"143.75";"A"
"2010-05";"126.96";"A"
"2010-04";"133.91";"A"
"2010-03";"132.61";"A"
"2010-02";"128.7";"A"
"2010-01";"133.46";"A"
"2009-12";"134.96";"A"
"2009-11";"136.9";"A"
"2009-10";"137.07";"A"
"2009-09";"135.93";"A"
"2009-08";"137.56";"A"
"2009-07";"138.07";"A"
"2009-06";"144.46";"A"
"2009-05";"140.15";"A"
"2009-04";"141.0";"A"
"2009-03";"141.05";"A"
"2009-02";"153.63";"A"
"2009-01";"134.94";"A"
"2008-12";"142.54";"A"
"2008-11";"139.81";"A"
"2008-10";"143.43";"A"
"2008-09";"145.08";"A"
"2008-08";"150.13";"A"
"2008-07";"156.29";"A"
"2008-06";"151.59";"A"
"2008-05";"148.98";"A"
"2008-04";"153.91";"A"
"2008-03";"153.19";"A"
"2008-02";"154.11";"A"
"2008-01";"154.78";"A"
"2007-12";"154.27";"A"
"2007-11";"151.76";"A"
"2007-10";"151.62";"A"
"2007-09";"150.65";"A"
"2007-08";"151.51";"A"
"2007-07";"154.12";"A"
"2007-06";"154.15";"A"
"2007-05";"154.18";"A"
"2007-04";"150.66";"A"
"2007-03";"149.6";"A"
"2007-02";"135.42";"A"
"2007-01";"143.5";"A"
"2006-12";"159.27";"A"
"2006-11";"165.07";"A"
"2006-10";"164.43";"A"
"2006-09";"165.86";"A"
"2006-08";"160.56";"A"
"2006-07";"160.22";"A"
"2006-06";"162.04";"A"
"2006-05";"160.11";"A"
"2006-04";"160.51";"A"
"2006-03";"160.14";"A"
"2006-02";"167.39";"A"
"2006-01";"166.54";"A"
"2005-12";"165.96";"A"
"2005-11";"167.44";"A"
"2005-10";"168.84";"A"
"2005-09";"169.8";"A"
"2005-08";"170.22";"A"
"2005-07";"165.53";"A"
"2005-06";"161.93";"A"
"2005-05";"161.13";"A"
"2005-04";"160.02";"A"
"2005-03";"165.5";"A"
"2005-02";"163.63";"A"
"2005-01";"172.97";"A"
"2004-12";"169.54";"A"
"2004-11";"169.34";"A"
"2004-10";"162.16";"A"
"2004-09";"168.49";"A"
"2004-08";"170.96";"A"
"2004-07";"176.04";"A"
"2004-06";"177.4";"A"
"2004-05";"185.78";"A"
"2004-04";"182.51";"A"
"2004-03";"180.68";"A"
"2004-02";"182.54";"A"
"2004-01";"181.68";"A"
"2003-12";"187.08";"A"
"2003-11";"178.91";"A"
"2003-10";"179.09";"A"
"2003-09";"179.53";"A"
"2003-08";"177.17";"A"
"2003-07";"187.35";"A"
"2003-06";"191.6";"A"
"2003-05";"194.39";"A"
"2003-04";"195.53";"A"
"2003-03";"193.66";"A"
"2003-02";"192.6";"A"
"2003-01";"186.04";"A"
"2002-12";"190.81";"A"
"2002-11";"198.18";"A"
"2002-10";"199.52";"A"
"2002-09";"199.6";"A"
"2002-08";"198.69";"A"
"2002-07";"198.7";"A"
"2002-06";"199.61";"A"
"2002-05";"202.16";"A"
"2002-04";"214.71";"A"
"2002-03";"214.78";"A"
"2002-02";"208.67";"A"
"2002-01";"211.04";"A"
"2001-12";"206.85";"A"
"2001-11";"209.29";"A"
"2001-10";"212.75";"A"
"2001-09";"214.08";"A"
"2001-08";"213.93";"A"
"2001-07";"211.96";"A"
"2001-06";"213.71";"A"
"2001-05";"214.11";"A"
"2001-04";"213.33";"A"
"2001-03";"213.95";"A"
"2001-02";"216.79";"A"
"2001-01";"217.24";"A"
"2000-12";"220.45";"A"
"2000-11";"212.76";"A"
"2000-10";"216.26";"A"
"2000-09";"221.22";"A"
"2000-08";"227.8";"A"
"2000-07";"217.62";"A"
"2000-06";"223.43";"A"
"2000-05";"210.88";"A"
"2000-04";"200.25";"A"
"2000-03";"222.89";"A"
"2000-02";"221.84";"A"
"2000-01";"219.45";"A"
"1999-12";"213.17";"A"
"1999-11";"238.83";"A"
"1999-10";"240.68";"A"
"1999-09";"237.78";"A"
"1999-08";"240.67";"A"
"1999-07";"240.38";"A"
"1999-06";"237.89";"A"
"1999-05";"212.53";"A"
"1999-04";"239.15";"A"
"1999-03";"245.99";"A"
"1999-02";"250.09";"A"
"1999-01";"251.18";"A"
"1998-12";"254.61";"A"
"1998-11";"267.71";"A"
"1998-10";"256.34";"A"
"1998-09";"258.36";"A"
"1998-08";"257.38";"A"
"1998-07";"263.39";"A"
"1998-06";"259.49";"A"
"1998-05";"262.68";"A"
"1998-04";"266.8";"A"
"1998-03";"270.24";"A"
"1998-02";"272.34";"A"
"1998-01";"272.37";"A"
"1997-12";"277.28";"A"
"1997-11";"270.78";"A"
"1997-10";"275.11";"A"
"1997-09";"272.58";"A"
"1997-08";"266.79";"A"
"1997-07";"273.67";"A"
"1997-06";"264.28";"A"
"1997-05";"271.31";"A"
"1997-04";"276.4";"A"
"1997-03";"276.54";"A"
"1997-02";"287.42";"A"
"1997-01";"280.44";"A"
"1996-12";"286.67";"A"
"1996-11";"293.67";"A"
"1996-10";"294.95";"A"
"1996-09";"306.94";"A"
"1996-08";"321.26";"A"
"1996-07";"326.48";"A"
"1996-06";"331.32";"A"
"1996-05";"338.5";"A"
"1996-04";"346.23";"A"
"1996-03";"343.26";"A"
"1996-02";"339.58";"A"
"1996-01";"363.3";"A"
"1995-12";"360.76";"A"
"1995-11";"407.06";"A"
"1995-10";"379.74";"A"
"1995-09";"375.95";"A"
"1995-08";"382.75";"A"
"1995-07";"378.25";"A"
"1995-06";"391.47";"A"
"1995-05";"388.43";"A"
"1995-04";"385.66";"A"
"1995-03";"396.54";"A"
"1995-02";"389.35";"A"
"1995-01";"390.78";"A"
"1994-12";"399.28";"A"
"1994-11";"408.45";"A"
"1994-10";"409.96";"A"
"1994-09";"425.58";"A"
"1994-08";"424.01";"A"
"1994-07";"424.45";"A"
"1994-06";"439.86";"A"
"1994-05";"430.88";"A"
"1994-04";"432.09";"A"
"1994-03";"439.67";"A"
"1994-02";"440.7";"A"
"1994-01";"447.26";"A"
"1993-12";"454.86";"A"
"1993-11";"441.0";"A"
"1993-10";"427.86";"A"
"1993-09";"412.53";"A"
"1993-08";"407.55";"A"
"1993-07";"414.77";"A"
"1993-06";"412.95";"A"
"1993-05";"420.2";"A"
"1993-04";"431.03";"A"
"1993-03";"418.15";"A"
"1993-02";"430.86";"A"
"1993-01";"422.31";"A"
"1992-12";"421.33";"A"
"1992-11";"418.97";"A"
"1992-10";"417.55";"A"
"1992-09";"430.85";"A"
"1992-08";"439.61";"A"
"1992-07";"449.67";"A"
"1992-06";"443.8";"A"
"1992-05";"449.61";"A"
"1992-04";"454.42";"A"
"1992-03";"455.95";"A"
"1992-02";"455.82";"A"
"1992-01";"450.12";"A"
"1991-12";"454.56";"A"
"1991-11";"454.96";"A"
"1991-10";"460.99";"A"
"1991-09";"458.73";"A"
"1991-08";"457.04";"A"
"1991-07";"451.55";"A"
"1991-06";"458.66";"A"
"1991-05";"456.74";"A"
"1991-04";"452.3";"A"
"1991-03";"448.5";"A"
"1991-02";"447.1";"A"
"1991-01";"452.16";"A"
"1990-12";"458.92";"A"
"1990-11";"462.52";"A"
"1990-10";"465.63";"A"
"1990-09";"465.6";"A"
"1990-08";"462.93";"A"
"1990-07";"390.71";"A"
"1990-06";"459.4";"A"
"1990-05";"462.87";"A"
"1990-04";"473.89";"A"
"1990-03";"498.04";"A"
"1990-02";"489.72";"A"
"1990-01";"503.99";"A"
